user_id,monthly_income,age,risk_tolerance,job_industry,dependent_count,monthly_expenses,emergency_fund_ratio,spending_volatility,income_stability,savings_goal_timeline,fixed_deposit_rate,savings_account_rate,debt_to_income_ratio,fixed_deposit_allocation_percentage,savings_account_allocation_percentage
1,5745.07,29,6.02,Construction,4,5085.63,0.58,0.21,0.95,7,2.76,0.67,0.32,65.0,35.0
2,4792.6,32,5.92,Services,0,3391.93,0.43,0.23,0.88,29,3.03,0.47,0.2,72.0,28.0
3,5971.53,30,4.1,Finance,2,3839.49,0.49,0.1,1.0,25,2.62,0.46,0.31,71.0,29.0
4,7284.54,35,6.37,Finance,3,4927.86,0.25,0.16,0.99,44,2.94,0.41,0.14,80.0,20.0
5,4648.77,44,3.26,Manufacturing,1,3415.38,0.49,0.23,0.77,42,2.86,0.46,0.31,66.0,34.0
6,4648.79,28,4.52,Technology,1,2296.15,0.38,0.15,0.87,9,2.95,0.37,0.15,60.0,40.0
7,7368.82,43,2.5,Retail,2,4259.61,0.44,0.24,0.82,35,2.74,0.45,0.27,62.0,38.0
8,6151.15,28,7.84,Government,0,5108.68,0.34,0.21,0.84,20,3.01,0.43,0.3,73.0,27.0
9,4295.79,28,5.15,Finance,1,3803.64,0.37,0.14,1.0,22,2.67,0.48,0.41,72.0,28.0
10,5813.84,41,8.75,Education,0,3447.16,0.42,0.22,0.72,19,2.9,0.4,0.2,71.0,29.0
11,4304.87,42,6.7,Technology,0,3228.3,0.31,0.24,0.78,18,2.9,0.7,0.33,66.0,34.0
12,4301.41,41,6.17,Retail,0,3240.59,0.74,0.22,0.95,34,2.83,0.42,0.3,77.0,23.0
13,5362.94,24,4.62,Healthcare,2,4486.27,0.24,0.23,1.0,6,3.01,0.46,0.2,62.0,38.0
14,2500.0,31,3.93,Finance,4,2247.38,0.47,0.11,0.97,18,3.02,0.53,0.33,66.0,34.0
15,2500.0,41,6.28,Finance,1,1959.77,0.45,0.31,0.73,29,2.94,0.54,0.33,67.0,33.0
16,4156.57,35,5.39,Education,0,3033.46,0.51,0.34,0.84,7,3.16,0.57,0.31,57.0,43.0
17,3480.75,26,3.49,Manufacturing,2,2983.19,0.1,0.27,0.73,22,2.72,0.47,0.13,56.0,44.0
18,5471.37,38,3.22,Finance,1,2979.56,0.15,0.21,0.94,14,2.75,0.41,0.3,60.0,40.0
19,3637.96,29,4.06,Retail,2,3710.72,0.32,0.18,0.83,25,2.86,0.65,0.29,64.0,36.0
20,2881.54,49,8.23,Healthcare,2,2939.18,0.54,0.18,0.86,24,2.76,0.41,0.14,77.0,23.0
21,7198.47,47,8.82,Education,3,4296.08,0.36,0.24,0.95,31,2.73,0.48,0.23,80.0,20.0
22,4661.34,39,5.81,Construction,0,3268.05,0.35,0.25,0.95,6,2.51,0.51,0.21,63.0,37.0
23,5101.29,45,5.72,Retail,0,4336.1,0.4,0.17,0.74,27,2.96,0.56,0.28,67.0,33.0
24,2862.88,35,5.0,Government,1,2362.59,0.27,0.2,1.0,18,2.78,0.54,0.38,69.0,31.0
25,4183.43,41,4.1,Technology,1,3457.28,0.47,0.26,0.74,35,2.79,0.44,0.28,64.0,36.0
26,5166.38,46,7.56,Education,3,3399.44,0.43,0.19,0.95,20,2.6,0.52,0.45,76.0,24.0
27,3273.51,36,8.31,Manufacturing,3,3102.77,0.48,0.21,0.83,17,2.72,0.34,0.33,73.0,27.0
28,5563.55,32,4.16,Construction,3,4874.2,0.63,0.27,0.81,19,2.85,0.7,0.31,59.0,41.0
29,4099.04,23,5.38,Services,0,2984.04,0.37,0.26,0.95,28,2.56,0.42,0.24,71.0,29.0
30,4562.46,34,4.83,Construction,2,2991.77,0.42,0.24,0.83,29,2.77,0.59,0.12,67.0,33.0
31,4097.44,41,4.87,Technology,1,2446.73,0.25,0.15,0.95,23,2.71,0.4,0.29,70.0,30.0
32,7778.42,42,7.28,Construction,3,6428.61,0.21,0.15,0.72,16,2.78,0.56,0.34,67.0,33.0
33,4979.75,39,3.53,Services,0,3048.01,0.4,0.16,0.85,14,2.76,0.4,0.49,59.0,41.0
34,3413.43,30,6.2,Technology,0,2164.99,0.42,0.17,0.9,29,2.53,0.59,0.21,74.0,26.0
35,6233.82,23,6.59,Finance,3,4878.97,0.5,0.21,1.0,28,2.97,0.69,0.34,77.0,23.0
36,3168.73,31,5.29,Manufacturing,2,2395.18,0.49,0.2,0.92,27,2.31,0.51,0.36,71.0,29.0
37,5313.3,32,6.84,Education,3,4029.64,0.44,0.19,0.85,36,2.84,0.56,0.24,77.0,23.0
38,2500.0,32,5.72,Manufacturing,0,1612.93,0.65,0.19,0.9,17,3.01,0.6,0.24,67.0,33.0
39,3007.72,39,7.33,Services,3,1984.91,0.35,0.16,0.78,39,2.78,0.44,0.43,78.0,22.0
40,5295.29,50,3.22,Construction,2,4457.01,0.37,0.18,0.91,26,2.52,0.59,0.35,64.0,36.0
41,6107.7,35,4.98,Services,2,4954.96,0.44,0.32,0.9,19,2.96,0.45,0.4,63.0,37.0
42,5257.05,33,5.39,Finance,2,3304.48,0.22,0.23,0.87,23,2.48,0.7,0.26,67.0,33.0
43,4826.53,32,1.49,Finance,2,4532.9,0.5,0.2,0.96,14,2.73,0.38,0.2,55.0,45.0
44,4548.34,35,3.87,Retail,1,2838.38,0.41,0.12,0.93,15,3.03,0.52,0.02,63.0,37.0
45,2782.22,28,4.28,Finance,0,2139.23,0.41,0.15,1.0,23,2.78,0.4,0.14,69.0,31.0
46,3920.23,35,6.92,Technology,1,2945.02,0.48,0.2,0.95,30,2.8,0.62,0.23,78.0,22.0
47,4309.04,38,4.44,Retail,2,3878.43,0.46,0.27,0.87,18,3.05,0.7,0.38,62.0,38.0
48,6585.68,36,4.27,Healthcare,0,4396.73,0.46,0.21,0.98,41,2.5,0.53,0.2,75.0,25.0
49,5515.43,38,6.73,Technology,0,3897.66,0.34,0.21,0.84,23,2.81,0.69,0.14,71.0,29.0
50,2500.0,38,3.07,Technology,2,2246.88,0.64,0.26,0.86,19,2.8,0.58,0.24,58.0,42.0
51,5486.13,23,2.39,Services,0,4612.29,0.18,0.15,0.93,13,2.65,0.67,0.2,57.0,43.0
52,4422.38,40,4.96,Healthcare,0,3349.78,0.3,0.27,1.0,19,2.68,0.58,0.3,67.0,33.0
53,3984.62,29,3.33,Finance,3,3599.18,0.32,0.18,0.94,35,3.0,0.68,0.44,69.0,31.0
54,5917.51,26,3.39,Energy,0,3048.4,0.29,0.26,0.74,37,2.43,0.66,0.27,63.0,37.0
55,6546.5,26,6.36,Finance,1,2941.07,0.14,0.28,0.93,28,2.76,0.45,0.25,73.0,27.0
56,6396.92,38,6.81,Technology,1,4482.03,0.65,0.15,0.77,24,2.66,0.45,0.34,70.0,30.0
57,3741.17,33,6.68,Manufacturing,1,2380.91,0.5,0.2,0.73,12,2.84,0.48,0.52,63.0,37.0
58,4536.18,23,7.16,Technology,1,2905.2,0.31,0.24,0.91,6,2.69,0.44,0.1,67.0,33.0
59,5496.9,38,7.36,Technology,3,4585.97,0.5,0.19,0.88,25,2.83,0.56,0.42,75.0,25.0
60,6463.32,23,2.31,Construction,2,5555.45,0.38,0.19,0.76,20,2.79,0.65,0.31,54.0,46.0
61,4281.24,36,6.18,Healthcare,1,2768.68,0.36,0.18,0.92,19,2.81,0.55,0.15,70.0,30.0
